url,price,year,name,ID,Marca,Modelo,Versión,Año,Cilindrada,Kilómetros,Puertas,Tipo de combustible,Placa
https://articulo.tucarro.com.co/MCO-552613039-mercedes-benz-c200-kompressor-_JM#position=44&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,45.000.000,2009 | 145000 km,Mercedes-benz Clase C C200 Kompressor,MCO552613039,Mercedes-Benz,Clase C,C200 KOMPRESSOR,2009,,145.000 km,4,Gasolina,DAC599
https://articulo.tucarro.com.co/MCO-553579127-mercedes-benz-c180-kompressor-_JM#position=45&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,31.500.000,2007 | 114000 km,Mercedes-benz Clase C C180 Kompressor,MCO553579127,Mercedes-Benz,Clase C,C180 KOMPRESSOR,2007,,114.000 km,5,Gasolina,BYM802
https://articulo.tucarro.com.co/MCO-551494619-mercedes-benz-clase-c-180-coupe-_JM#position=46&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,64.900.000,2013 | 29000 km,Mercedes-benz Clase C Coupe Sportback,MCO551494619,Mercedes-Benz,Clase C,COUPE SPORTBACK,2013,,29.000 km,2,Gasolina,HDM838
https://articulo.tucarro.com.co/MCO-552744249-mercedes-benz-c200-exclusive-_JM#position=47&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,81.000.000,2016 | 44000 km,Mercedes-benz Clase C C 200 Exclusive,MCO552744249,Mercedes-Benz,Clase C,C 200 EXCLUSIVE,2016,2000 cc,44.000 km,4,Gasolina,IJX187
https://articulo.tucarro.com.co/MCO-547542052-mercedes-benz-clase-c-c250-amg-_JM#position=48&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,82.000.000,2013 | 16000 km,Mercedes-benz Clase C C250 Amg,MCO547542052,Mercedes-Benz,Clase C,C250 AMG,2013,,16.000 km,,Gasolina,***-**7
https://articulo.tucarro.com.co/MCO-551357916-mercedes-benz-clase-c-c200-t-2009-_JM#position=1&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,44.000.000,2009 | 64000 km,Mercedes-benz Clase C C200 T,MCO551357916,Mercedes-Benz,Clase C,C200 T,2009,,64.000 km,5,Gasolina,3
https://articulo.tucarro.com.co/MCO-553036821-mercedes-benz-clase-c-c180-turbo-blueefficiency-_JM#position=2&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,45.900.000,2012 | 60000 km,Mercedes-benz Clase C C180 Turbo Blueefficiency,MCO553036821,Mercedes-Benz,Clase C,C180 Turbo Blueefficiency,2012,,60.000 km,5,Gasolina,MKM671
https://articulo.tucarro.com.co/MCO-552812375-mercedes-benz-clase-c-c-180-cgi-be-_JM#position=3&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,54.000.000,2012 | 64000 km,Mercedes-benz Clase C C-180 Cgi Be,MCO552812375,Mercedes-Benz,Clase C,C-180 CGI BE,2012,,64.000 km,4,Gasolina,MIZ 160
https://articulo.tucarro.com.co/MCO-551357366-mercedes-benz-clase-c-180-_JM#position=4&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,80.000.000,2016 | 68404 km,Mercedes-benz Clase C 180,MCO551357366,Mercedes-Benz,Clase C,180,2016,,68.404 km,5,Gasolina y gas,XXXXX0
https://articulo.tucarro.com.co/MCO-552842493-mercedes-benz-clase-c-c200-_JM#position=5&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,89.900.000,2016 | 23500 km,Mercedes-benz Clase C C200,MCO552842493,Mercedes-Benz,Clase C,C200,2016,,23.500 km,4,Gasolina,IWS651
